"Complex","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy"
"1f8d",-39.68707988,6.200475675,-16.08582753,-16.52876033,0,52.72362778,-30.02715812,8.138229389
"1igj",-9.995771812,2.090496939,-0.134724905,-60.71892966,0,27.16089192,-46.20967395,4.526727346
"1jyq",-281.2632425,10.54710492,-27.17324195,-24.83485149,-3.951748366,256.2576397,-36.79750554,22.77811141
"1lbk",-18.48498315,0.470086805,-6.527364928,-13.29657787,0,-6.087031889,-28.08314435,4.917001035
"1lor",-30.93944386,5.973517018,-13.68299474,-12.24570825,-1e-11,35.11760275,-25.49076514,10.4199447
"1o5b",-190.3200421,1.970343444,-2.392760354,-26.26206188,-0.000422091,179.9329192,-30.71199369,3.380773325
"1os0",60.83638206,5.888421983,-5.215513891,-36.94809854,-1.45937743,-13.17231789,-46.74920374,13.68547811
"1oyt",-210.512974,4.541763514,-7.845114221,-35.55708418,-0.217849494,216.4023321,-59.53634296,7.065778126
"1q8u",22.52284653,1.257593278,-1.006473644,-37.84690619,-0.000241187,-7.521458897,-44.29957076,2.914121472
"1sln",-123.5217237,5.480035534,-2.159645671,-39.27819711,-3.028629455,126.1219348,-53.66701214,16.43848789
"1w4o",-102.6695514,4.285713653,-12.38173991,-5.823437396,-0.002039348,90.36027215,-31.61572354,6.527042763
"1xd0",-45.081141,8.068144787,-5.840304299,-55.29008157,0,126.2730091,-70.61638035,29.68280382
"2cbj",-30.15353917,3.077440867,-4.539133695,-28.44359951,-1.595856842,43.9102301,-51.58709452,9.697188463
"2d3u",-58.51400769,1.177757629,-2.342458134,-37.58377031,-4.194277629,66.12152091,-49.12996946,5.389403968
"2fvd",-6.386882389,-0.090096959,-2.794099812,-32.09250368,-0.084187691,-0.07759146,-63.16505178,2.616359636
"2hb1",-111.4056423,0.872719209,-10.16200093,-22.74514083,-0.482203878,111.6714015,-29.01521732,1.244258296
"2iwx",-45.85221297,-1.01202582,-2.585749512,-34.22480447,-0.684919718,19.88375223,-42.56995115,2.46816057
"2jdu",-18.76236065,0.08100949,-2.848389502,-6.816568223,0,38.90789034,-18.10100405,4.917268203
"2obf",-81.52149088,0.164862625,-1.915230367,-44.49125531,-2.969146788,86.55857036,-42.49157013,12.30557866
"2pq9",-149.8520324,11.09099614,-42.70760795,-14.20871108,0,157.5700128,-39.47901844,17.96669131
"2qmj",-223.3645502,9.729326671,-8.101615619,-43.97434386,0,183.5131751,-46.17680078,16.45301686
"2v7a",-44.18473858,-0.044917058,-1.669427638,-38.20098838,-0.00333427,41.89203228,-58.29407526,2.428512459
"2vl4",-59.16809591,1.494744386,-5.746930539,-17.85514052,0,30.13495146,-20.43598858,9.185554547
"2w66",-75.9618249,3.429215054,-4.720177708,-24.00154877,0,77.72483277,-30.15842193,11.77955336
"2wbg",-63.75526692,6.455602945,-3.501785366,-32.14573261,0,74.76163549,-31.3386001,13.43433639
"2weg",6.780963606,1.466523103,-2.11980024,-9.6956476,-0.707548615,-17.69871405,-22.47547253,1.303226413
"2x8z",378.6495912,3.251455076,-8.121995927,-15.83333138,0,-309.6851961,-24.5441646,4.282581007
"2xb8",-55.28616603,2.398508934,-6.040275674,-35.87881179,-0.450821261,43.57926787,-37.89556945,3.825048613
"2y5h",-154.3207752,3.234524569,-0.83911669,-54.6470149,-0.260008087,177.9441035,-64.84972167,4.558081902
"2yki",-33.76253667,1.738598775,-1.721927687,-54.12068294,-4.744095782,34.62203179,-61.90536275,7.354545707
"2ymd",-167.4863524,3.552364237,-1.14561135,-35.12474287,-0.177876023,191.2366184,-26.75240441,4.005358428
"2zcr",101.1890188,9.953322205,-10.20425341,-50.01472751,-0.25277345,-8.391069303,-54.83994561,12.31756838
"2zjw",-29.88127969,4.358473049,-2.755180682,-27.28689012,-0.351709132,19.7632763,-19.68277973,8.19395434
"2zx6",-114.1013465,3.509541498,-4.214197489,-31.09711779,-1.360478896,90.79493292,-31.97281903,19.91093554
"3b3s",2.602713135,1.754485172,-2.439939537,-19.58317919,0,24.72959928,-7.620611242,2.367762946
"3bfu",-47.12344648,3.737216221,-5.003410472,-23.07292421,-0.27981574,16.792213,-25.14335313,4.282246102
"3bpc",-132.6695255,2.680664202,-14.71927163,-9.770312766,0,105.1835964,-17.30420935,13.52423385
"3cft",-12.81835696,1.112065594,-2.701254114,-10.36551356,0,14.05212189,-13.39276239,0.943233625
"3cyx",-16.18779603,5.040975174,-4.370809757,-77.83839938,-0.09428919,17.47093482,-90.90463465,9.821433689
"3d4z",-9.384139675,2.571341555,-4.54852285,-17.57796417,-0.642067486,-18.6080745,-16.51512396,6.705474147
"3ebp",0.455331287,0.18279061,-0.631499145,-32.89631578,-7.646494286,7.438702105,-42.44697894,1.635308602
"3ehy",84.32322693,5.956441949,-1.942636481,-20.19246511,-0.740407015,-40.99974343,-39.43356343,2.928479774
"3f3e",-10.70612843,0.909615749,-1.42402425,-24.36865233,0,30.10965222,-25.30239786,1.52977399
"3fv1",-30.95245437,1.008730247,-7.721156307,-37.0634607,0,7.777687789,-34.03385431,7.094287767
"3g0w",-22.18566524,1.071791199,-0.552672578,-62.64906595,-0.620276367,20.1788087,-51.46653873,5.559884184
"3g2z",-32.28450193,4.920661107,-2.157715336,-5.82375529,-1.39e-05,13.45928272,-17.8888027,6.951809305
"3gcs",-17.17323183,-0.331347146,-2.400935876,-48.51956022,-0.822412227,21.18831501,-60.79797749,2.444788098
"3ge7",-35.50971945,5.230656241,-9.736390456,-41.40970338,-4.634025489,50.78464025,-58.61029696,5.988510908
"3gy4",-210.3642007,2.528742035,-8.926784485,-11.63055657,-0.001391706,214.9675669,-26.12375309,2.511205083
"3i3b",-27.810249,1.831791756,-3.626147443,-16.38815965,0,70.01089408,-10.07767727,7.228393074
"3imc",-3.343632532,0.509444679,-0.238648609,-18.42661178,-1.236932809,4.308990069,-30.41821333,0.84088326
"3jvs",-21.23070143,2.169747466,-1.098432852,-31.27511048,-0.159938384,13.44220355,-41.012757,8.629354484
"3myg",-35.88056647,2.253224921,-2.597980136,-36.70961231,-0.178676515,28.70524569,-50.34994158,5.16995908
"3nox",-115.6427755,3.55255802,-2.577182552,-37.07605542,-3.337468852,113.8210544,-43.57149028,4.173626317
"3nw9",-39.21850197,5.326747022,-4.403222154,-49.09347043,-1.647028865,48.02958612,-70.05460741,13.41083327
"3su3",-37.93479098,2.201039703,-3.394252054,-54.90334029,-1.436126959,26.48468797,-79.3086524,20.30880065
"3u9q",14.11279807,3.741041591,-2.991066437,-42.15061611,0,-5.54916066,-35.37043053,4.178381438
"3udh",-109.9330275,2.596701813,-2.638475116,-20.49728591,-0.839882456,95.00773881,-28.57136978,2.618487042
"3uex",94.00916997,4.783231502,-2.87332711,-76.52484687,0,-65.30193735,-45.12563607,4.771069099
"3zsx",-42.99919697,0.083758976,-3.575180249,-28.5907968,-0.204448382,43.2746327,-43.83436155,8.135236573
