"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF"
"1f8d",22,324,0,0,1,0,173,172,5,8,13,0,0,0,4,9
"1igj",3,157,0,0,8,0,80,72,0,0,21,0,0,0,0,7
"1jyq",32,514,0,39,22,69,171,245,4,22,40,2,1,0,4,20
"1lbk",26,322,4,12,5,52,30,245,4,12,7,0,0,0,3,11
"1lor",21,330,0,12,11,11,143,174,3,15,8,0,0,0,1,7
"1o5b",8,209,0,5,52,0,18,142,2,0,13,0,0,0,0,2
"1os0",13,251,1,6,1,69,68,119,3,5,19,1,0,2,6,13
"1oyt",13,325,0,33,28,0,60,217,4,1,24,0,0,0,0,5
"1q8u",2,205,0,17,3,6,146,35,0,1,21,0,0,0,1,2
"1sln",12,297,6,16,36,60,68,123,3,4,34,0,1,0,5,14
"1w4o",0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,6
"1xd0",36,444,0,3,25,40,87,325,6,2,19,0,0,0,3,28
"2cbj",20,305,5,0,14,19,82,205,4,5,20,0,0,0,0,8
"2d3u",6,251,4,0,15,181,0,57,1,5,33,0,2,0,0,5
"2fvd",11,389,0,9,27,19,207,138,0,4,19,0,0,0,1,7
"2hb1",11,195,9,0,5,41,5,146,0,9,16,0,0,0,3,4
"2iwx",11,275,3,1,0,106,84,92,2,5,12,0,0,0,0,2
"2jdu",11,125,0,10,18,0,29,79,0,3,8,0,0,0,0,4
"2obf",12,293,11,0,1,112,69,112,4,0,48,0,1,0,2,5
"2pq9",8,99,4,0,2,54,0,47,0,7,0,0,0,0,1,10
"2qmj",28,389,0,0,0,64,123,230,7,6,11,0,0,0,3,22
"2v7a",8,316,0,25,20,0,186,93,2,4,27,0,0,0,0,6
"2vl4",14,189,0,0,0,17,88,98,6,2,15,2,0,0,2,5
"2w66",17,273,0,0,11,17,102,160,6,1,24,0,0,0,2,6
"2wbg",16,313,0,0,0,19,144,166,3,4,43,0,0,0,0,11
"2weg",7,153,0,0,11,7,66,76,0,1,5,0,0,0,0,2
"2x8z",12,161,0,1,0,100,1,71,0,7,11,0,0,0,3,3
"2xb8",15,267,0,3,32,0,48,199,2,7,34,0,1,0,1,7
"2y5h",8,276,0,26,15,0,57,186,1,3,29,4,0,0,0,6
"2yki",6,395,22,0,0,165,126,88,0,1,48,0,2,2,0,3
"2ymd",9,222,0,20,23,0,80,108,3,1,18,3,0,0,0,4
"2zcr",10,254,6,0,0,187,0,71,0,8,31,0,0,0,7,10
"2zjw",20,276,0,0,10,2,179,105,2,2,22,0,0,0,0,4
"2zx6",22,281,0,0,4,21,111,167,6,3,23,1,0,0,2,7
"3b3s",10,149,0,0,12,0,22,125,2,4,9,0,0,0,0,4
"3bfu",19,256,3,24,2,65,106,75,2,9,15,1,0,0,2,4
"3bpc",30,288,0,0,15,0,97,206,5,15,9,0,0,0,2,15
"3cft",2,79,0,1,0,0,69,11,0,0,7,0,0,0,1,2
"3cyx",17,425,0,28,59,0,104,251,4,4,33,0,0,0,2,14
"3d4z",14,246,0,0,11,6,32,211,8,3,17,0,1,0,0,5
"3ebp",4,237,6,0,7,40,0,188,1,1,52,0,4,0,0,5
"3ehy",6,192,4,7,12,53,26,96,1,4,16,1,1,0,4,5
"3f3e",7,172,51,0,16,84,0,28,3,2,11,0,0,0,0,4
"3fv1",21,350,12,22,0,99,163,75,4,8,28,0,0,0,4,7
"3g0w",3,252,11,0,1,208,0,35,1,0,21,0,0,1,0,3
"3g2z",7,160,0,17,0,16,45,89,1,10,4,0,0,0,0,1
"3gcs",6,384,0,16,14,91,158,111,2,2,35,1,0,1,0,6
"3ge7",18,380,0,9,33,88,189,79,7,1,42,0,3,0,2,7
"3gy4",12,198,0,5,47,0,25,133,5,0,11,0,0,0,0,3
"3i3b",20,235,0,0,0,0,97,158,3,3,18,0,0,0,0,5
"3imc",2,159,11,8,5,33,29,75,0,2,19,1,0,0,0,1
"3jvs",6,254,0,0,54,5,0,201,2,3,36,0,0,0,0,5
"3myg",10,341,0,18,17,18,205,93,1,2,26,0,0,0,0,9
"3nox",10,243,2,0,0,70,8,173,2,3,13,1,1,1,2,4
"3nw9",21,472,0,6,34,25,47,381,4,5,44,0,0,4,0,10
"3su3",17,443,0,28,27,0,171,234,3,9,40,0,0,0,0,7
"3u9q",4,123,3,0,1,100,0,23,0,5,15,0,0,0,2,8
"3udh",5,170,0,0,19,0,78,78,3,2,20,0,0,0,2,0
"3uex",2,148,0,0,1,0,130,19,0,1,25,0,0,0,1,16
"3zsx",7,208,5,0,37,107,5,61,1,6,20,0,0,0,1,10
